Timestamp,Sensor,Value
2024-07-18 23:03:12,Current,248
2024-07-18 23:03:13,Current,247
2024-07-18 23:03:14,Current,247
2024-07-18 23:03:15,Current,252
2024-07-18 23:03:16,Current,254
2024-07-18 23:03:17,Current,251
2024-07-18 23:03:18,Current,247
2024-07-18 23:03:19,Current,254
2024-07-18 23:03:20,Current,255
2024-07-18 23:03:21,Current,251
2024-07-18 23:03:22,Current,255
2024-07-18 23:03:23,Current,251
2024-07-18 23:03:24,Current,251
2024-07-18 23:03:25,Current,255
2024-07-18 23:03:26,Current,255
2024-07-18 23:03:28,Current,247
2024-07-18 23:03:29,Current,251
2024-07-18 23:03:30,Current,254
2024-07-18 23:03:31,Current,265
2024-07-18 23:03:32,Current,254
2024-07-18 23:03:33,Current,258
2024-07-18 23:03:34,Current,251
2024-07-18 23:03:35,Current,258
2024-07-18 23:03:36,Current,255
2024-07-18 23:03:37,Current,251
2024-07-18 23:03:38,Current,252
2024-07-18 23:03:39,Current,250
2024-07-18 23:03:40,Current,245
2024-07-18 23:03:41,Current,248
2024-07-18 23:03:42,Current,248
2024-07-18 23:03:44,Current,248
2024-07-18 23:03:45,Current,249
2024-07-18 23:03:46,Current,249
2024-07-18 23:03:47,Current,249
2024-07-18 23:03:48,Current,249
2024-07-18 23:03:49,Current,252
2024-07-18 23:03:50,Current,253
2024-07-18 23:03:51,Current,251
2024-07-18 23:03:52,Current,252
2024-07-18 23:03:53,Current,251
2024-07-18 23:03:54,Current,252
2024-07-18 23:03:55,Current,254
2024-07-18 23:03:56,Current,252
2024-07-18 23:03:57,Current,250
2024-07-18 23:03:58,Current,249
2024-07-18 23:03:59,Current,248
2024-07-18 23:04:00,Current,248
2024-07-18 23:04:02,Current,251
2024-07-18 23:04:03,Current,252
2024-07-18 23:04:04,Current,253
2024-07-18 23:04:05,Current,252
2024-07-18 23:04:06,Current,252
2024-07-18 23:04:07,Current,252
2024-07-18 23:04:08,Current,252
2024-07-18 23:04:09,Current,255
2024-07-18 23:04:10,Current,251
2024-07-18 23:04:11,Current,252
2024-07-18 23:04:12,Current,252
2024-07-18 23:04:13,Current,253
2024-07-18 23:04:14,Current,252
2024-07-18 23:04:15,Current,252
2024-07-18 23:04:16,Current,248
2024-07-18 23:04:17,Current,250
2024-07-18 23:04:19,Current,250
2024-07-18 23:04:20,Current,250
2024-07-18 23:04:21,Current,248
2024-07-18 23:04:22,Current,269
2024-07-18 23:04:23,Current,273
2024-07-18 23:04:24,Current,271
2024-07-18 23:04:25,Current,258
2024-07-18 23:04:26,Current,269
2024-07-18 23:04:27,Current,254
2024-07-18 23:04:28,Current,249
2024-07-18 23:04:29,Current,252
2024-07-18 23:04:30,Current,257
2024-07-18 23:04:31,Current,254
2024-07-18 23:04:32,Current,254
2024-07-18 23:04:33,Current,251
2024-07-18 23:04:34,Current,251
2024-07-18 23:04:36,Current,257
2024-07-18 23:04:37,Current,251
2024-07-18 23:04:38,Current,251
2024-07-18 23:04:39,Current,253
2024-07-18 23:04:40,Current,252
2024-07-18 23:04:41,Current,253
2024-07-18 23:04:42,Current,253
2024-07-18 23:04:43,Current,252
2024-07-18 23:04:44,Current,251
2024-07-18 23:04:45,Current,253
2024-07-18 23:04:46,Current,251
2024-07-18 23:04:47,Current,252
2024-07-18 23:04:48,Current,251
2024-07-18 23:04:49,Current,253
2024-07-18 23:04:50,Current,253
2024-07-18 23:04:51,Current,253
2024-07-18 23:04:53,Current,251
2024-07-18 23:04:54,Current,252
2024-07-18 23:04:55,Current,253
2024-07-18 23:04:56,Current,252
2024-07-18 23:04:57,Current,249
2024-07-18 23:04:58,Current,250
2024-07-18 23:04:59,Current,248
2024-07-18 23:05:00,Current,245
2024-07-18 23:05:01,Current,248
2024-07-18 23:05:02,Current,250
2024-07-18 23:05:03,Current,245
2024-07-18 23:05:04,Current,250
2024-07-18 23:05:05,Current,254
2024-07-18 23:05:06,Current,244
2024-07-18 23:05:07,Current,247
2024-07-18 23:05:08,Current,248
2024-07-18 23:05:10,Current,248
2024-07-18 23:05:11,Current,253
2024-07-18 23:05:12,Current,252
2024-07-18 23:05:13,Current,247
2024-07-18 23:05:14,Current,253
2024-07-18 23:05:15,Current,252
2024-07-18 23:05:16,Current,249
2024-07-18 23:05:17,Current,257
2024-07-18 23:05:18,Current,249
2024-07-18 23:05:19,Current,248
2024-07-18 23:05:20,Current,251
2024-07-18 23:05:21,Current,249
2024-07-18 23:05:22,Current,249
2024-07-18 23:05:23,Current,249
2024-07-18 23:05:24,Current,249
2024-07-18 23:05:25,Current,249
2024-07-18 23:05:27,Current,249
2024-07-18 23:05:28,Current,250
2024-07-18 23:05:29,Current,251
2024-07-18 23:05:30,Current,251
2024-07-18 23:05:31,Current,251
2024-07-18 23:05:32,Current,275
2024-07-18 23:05:33,Current,274
2024-07-18 23:05:34,Current,272
2024-07-18 23:05:35,Current,275
2024-07-18 23:05:36,Current,256
2024-07-18 23:05:37,Current,252
2024-07-18 23:05:38,Current,251
2024-07-18 23:05:39,Current,253
2024-07-18 23:05:40,Current,252
2024-07-18 23:05:41,Current,252
2024-07-18 23:05:43,Current,253
2024-07-18 23:05:44,Current,251
2024-07-18 23:05:45,Current,249
2024-07-18 23:05:46,Current,249
2024-07-18 23:05:47,Current,257
2024-07-18 23:05:48,Current,248
2024-07-18 23:05:49,Current,255
2024-07-18 23:05:50,Current,255
2024-07-18 23:05:51,Current,251
2024-07-18 23:05:52,Current,272
2024-07-18 23:05:53,Current,254
2024-07-18 23:05:54,Current,250
2024-07-18 23:05:55,Current,254
